Date,Probe,Type,Value
2020-07-31T00:00:00Z,Tmp-9,Temp,15
2020-07-31T00:00:00Z,pH-9,pH,7.91
2020-07-31T00:00:00Z,HEATER-9A,Amps,0
2020-07-31T00:00:00Z,PWRHD-9A,Amps,0
2020-07-31T00:00:00Z,SOL-TNK-9A,Amps,0
2020-07-31T00:00:00Z,LIGHT-TNK-9A,Amps,0
2020-07-31T00:00:00Z,HEATER-11A,Amps,0
2020-07-31T00:00:00Z,PWRHD-11A,Amps,0
2020-07-31T00:00:00Z,SOL-TNK-11A,Amps,0
2020-07-31T00:00:00Z,LIGHT-TNK-11,Amps,0
2020-07-31T00:00:00Z,HEATER-9W,pwr,0
2020-07-31T00:00:00Z,PWRHD-9W,pwr,5
2020-07-31T00:00:00Z,SOL-TNK-9W,pwr,0
2020-07-31T00:00:00Z,LIGHT-TNK-9W,pwr,0
2020-07-31T00:00:00Z,HEATER-11W,pwr,0
2020-07-31T00:00:00Z,PWRHD-11W,pwr,5
2020-07-31T00:00:00Z,SOL-TNK-11W,pwr,0
2020-07-31T00:00:00Z,LIGHT-TNK-11,pwr,0
2020-07-31T00:00:00Z,Volt_2,volts,117
2020-07-31T00:00:00Z,HEATER-10A,Amps,0
2020-07-31T00:00:00Z,PWRHD-10A,Amps,0
2020-07-31T00:00:00Z,SOL-TNK-10A,Amps,0
2020-07-31T00:00:00Z,LIGHT-TNK-10,Amps,0
2020-07-31T00:00:00Z,HEATER-12A,Amps,0
2020-07-31T00:00:00Z,PWRHD-12A,Amps,0
2020-07-31T00:00:00Z,SOL-TNK-12A,Amps,0
2020-07-31T00:00:00Z,LIGHT-TNK-12,Amps,0
2020-07-31T00:00:00Z,HEATER-10W,pwr,0
2020-07-31T00:00:00Z,PWRHD-10W,pwr,5
2020-07-31T00:00:00Z,SOL-TNK-10W,pwr,0
2020-07-31T00:00:00Z,LIGHT-TNK-10,pwr,0
2020-07-31T00:00:00Z,HEATER-12W,pwr,0
2020-07-31T00:00:00Z,PWRHD-12W,pwr,5
2020-07-31T00:00:00Z,SOL-TNK-12W,pwr,7
2020-07-31T00:00:00Z,LIGHT-TNK-12,pwr,0
2020-07-31T00:00:00Z,Volt_3,volts,118
2020-07-31T00:00:00Z,Tmp-10,Temp,15.5
2020-07-31T00:00:00Z,pH-10,pH,7.91
2020-07-31T00:00:00Z,S9-FLW,gph,0
2020-07-31T00:00:00Z,N9-FLW,gph,5.3
2020-07-31T00:00:00Z,D9-FLW,gph,0
2020-07-31T00:00:00Z,Tmp-11,Temp,15.5
2020-07-31T00:00:00Z,pH-11,pH,7.92
2020-07-31T00:00:00Z,S10FLW,gph,0
2020-07-31T00:00:00Z,N10FLW,gph,5.2
2020-07-31T00:00:00Z,D10FLW,gph,0
2020-07-31T00:00:00Z,Tmp-12,Temp,15.9
2020-07-31T00:00:00Z,pH-12,pH,7.89
2020-07-31T00:00:00Z,D11FLW,gph,0
2020-07-31T00:00:00Z,N11FLW,gph,8.1
2020-07-31T00:00:00Z,S11FLW,gph,0
2020-07-31T00:00:00Z,S12FLW,gph,7.5
2020-07-31T00:00:00Z,N12FLW,gph,0
2020-07-31T00:00:00Z,D12FLW,gph,0
2020-07-31T00:00:00Z,TMP-S,Temp,13.7
2020-07-31T00:00:00Z,PH-Smp,pH,7.92
2020-07-31T00:10:00Z,Tmp-9,Temp,15
2020-07-31T00:10:00Z,pH-9,pH,7.91
2020-07-31T00:10:00Z,HEATER-9A,Amps,0
2020-07-31T00:10:00Z,PWRHD-9A,Amps,0
2020-07-31T00:10:00Z,SOL-TNK-9A,Amps,0
2020-07-31T00:10:00Z,LIGHT-TNK-9A,Amps,0
2020-07-31T00:10:00Z,HEATER-11A,Amps,0
2020-07-31T00:10:00Z,PWRHD-11A,Amps,0
2020-07-31T00:10:00Z,SOL-TNK-11A,Amps,0
2020-07-31T00:10:00Z,LIGHT-TNK-11,Amps,0
2020-07-31T00:10:00Z,HEATER-9W,pwr,0
2020-07-31T00:10:00Z,PWRHD-9W,pwr,5
2020-07-31T00:10:00Z,SOL-TNK-9W,pwr,0
2020-07-31T00:10:00Z,LIGHT-TNK-9W,pwr,0
2020-07-31T00:10:00Z,HEATER-11W,pwr,0
2020-07-31T00:10:00Z,PWRHD-11W,pwr,5
2020-07-31T00:10:00Z,SOL-TNK-11W,pwr,0
2020-07-31T00:10:00Z,LIGHT-TNK-11,pwr,0
2020-07-31T00:10:00Z,Volt_2,volts,117
2020-07-31T00:10:00Z,HEATER-10A,Amps,0
2020-07-31T00:10:00Z,PWRHD-10A,Amps,0
2020-07-31T00:10:00Z,SOL-TNK-10A,Amps,0
2020-07-31T00:10:00Z,LIGHT-TNK-10,Amps,0
2020-07-31T00:10:00Z,HEATER-12A,Amps,0
2020-07-31T00:10:00Z,PWRHD-12A,Amps,0
2020-07-31T00:10:00Z,SOL-TNK-12A,Amps,0
2020-07-31T00:10:00Z,LIGHT-TNK-12,Amps,0
2020-07-31T00:10:00Z,HEATER-10W,pwr,0
2020-07-31T00:10:00Z,PWRHD-10W,pwr,4
2020-07-31T00:10:00Z,SOL-TNK-10W,pwr,0
2020-07-31T00:10:00Z,LIGHT-TNK-10,pwr,0
2020-07-31T00:10:00Z,HEATER-12W,pwr,0
2020-07-31T00:10:00Z,PWRHD-12W,pwr,4
2020-07-31T00:10:00Z,SOL-TNK-12W,pwr,7
2020-07-31T00:10:00Z,LIGHT-TNK-12,pwr,0
